date,temp_mean,temp_max,temp_min,cloud_mean,cloud_max,humidity_mean,pressure_mean,wind_mean,wind_max,precip_sum,label
2020-07-05,28.870833333333334,31.5,26.0,27.166666666666668,88,80.41666666666667,1005.8083333333334,9.458333333333334,16.9,1.3,rain
2020-07-06,29.57083333333333,32.4,26.6,14.083333333333334,53,78.20833333333333,1005.4125,13.6875,24.3,0.3,rain
2020-07-07,30.09166666666667,33.3,27.2,35.166666666666664,82,76.20833333333333,1007.3708333333334,13.275,23.1,0.0,cloudy
2020-07-08,30.47083333333333,34.0,27.3,50.666666666666664,98,74.5,1007.1,10.920833333333334,19.8,0.0,cloudy
2020-07-09,30.65416666666667,33.9,27.5,95.04166666666667,100,71.25,1004.6791666666667,12.137500000000001,22.7,0.0,cloudy
2020-07-10,31.1875,35.6,28.4,86.54166666666667,100,69.33333333333333,1004.5708333333333,11.945833333333333,21.7,0.0,cloudy
2020-07-11,30.916666666666668,34.9,28.6,85.45833333333333,100,66.16666666666667,1005.6,11.029166666666667,20.3,0.0,cloudy
2020-07-12,29.983333333333334,33.4,27.2,23.458333333333332,96,73.25,1005.4041666666667,10.975,19.5,0.0,cloudy
2020-07-13,29.916666666666668,32.7,27.5,24.416666666666668,75,75.29166666666667,1006.0916666666667,10.2625,18.2,0.0,cloudy
2020-07-14,29.55,31.5,27.4,37.625,99,77.5,1006.8041666666667,9.045833333333333,15.7,0.0,cloudy
2020-07-15,29.575,32.2,27.0,32.375,94,76.83333333333333,1006.1083333333332,10.129166666666666,16.2,0.1,cloudy
2020-07-16,29.787499999999998,32.1,26.8,25.083333333333332,94,74.45833333333333,1005.7875,10.241666666666667,18.4,0.0,cloudy
2020-07-17,30.22083333333333,32.6,27.6,11.875,57,74.20833333333333,1006.7125,11.762500000000001,16.4,0.0,sunny
2020-07-18,30.52916666666667,32.9,28.6,54.458333333333336,97,73.41666666666667,1007.0416666666666,11.645833333333334,20.1,0.0,cloudy
2020-07-19,30.525000000000002,33.5,27.6,42.333333333333336,81,72.41666666666667,1006.1166666666667,11.529166666666667,18.8,0.0,cloudy
2020-07-20,30.083333333333332,32.7,28.0,95.04166666666667,100,75.375,1006.8208333333333,16.304166666666667,27.2,0.0,cloudy
2020-07-21,29.245833333333334,31.5,27.5,38.416666666666664,99,77.0,1008.2208333333333,17.958333333333332,27.9,0.0,cloudy
2020-07-22,29.05,31.4,26.7,18.708333333333332,55,76.75,1007.8708333333334,13.695833333333333,21.6,0.6,rain
2020-07-23,29.25,31.6,27.0,21.958333333333332,69,77.33333333333333,1007.8249999999999,10.070833333333333,18.5,0.0,cloudy
2020-07-24,29.2,31.8,26.5,50.75,94,74.54166666666667,1007.9375,12.566666666666668,21.1,0.0,cloudy
2020-07-25,29.479166666666668,31.8,26.8,24.541666666666668,60,74.95833333333333,1007.4125,12.445833333333333,19.9,0.0,sunny
2020-07-26,30.1125,32.4,27.3,16.666666666666668,88,71.79166666666667,1006.4208333333332,10.458333333333334,16.8,0.0,cloudy
2020-07-27,30.166666666666668,33.4,27.4,25.833333333333332,87,71.0,1005.4125,10.516666666666667,17.9,2.3,rain
2020-07-28,29.620833333333334,32.5,27.0,64.375,93,73.04166666666667,1006.1374999999999,10.0375,20.9,1.0,rain
2020-07-29,29.670833333333334,32.0,27.2,45.916666666666664,98,74.375,1006.1374999999999,11.174999999999999,21.0,1.0,rain
2020-07-30,29.829166666666666,33.0,26.8,81.41666666666667,100,74.91666666666667,1004.8666666666667,10.825000000000001,22.7,0.0,cloudy
2020-07-31,28.28333333333333,29.1,27.1,99.83333333333333,100,83.0,1001.7333333333332,5.3625,9.7,13.5,rain
2020-08-01,27.020833333333332,28.1,25.8,100.0,100,87.91666666666667,998.2541666666666,8.858333333333333,16.0,18.1,rain
2020-08-02,28.175,30.1,26.6,99.5,100,84.75,998.9916666666667,12.1625,18.1,5.3,rain
2020-08-03,28.979166666666668,32.3,26.4,98.08333333333333,100,80.0,1001.3166666666666,10.9,20.6,0.2,cloudy
2020-08-04,29.474999999999998,33.7,26.6,91.0,100,76.91666666666667,1002.4541666666668,8.5375,13.0,1.2,rain
2020-08-05,28.775000000000002,30.7,27.0,90.16666666666667,100,80.58333333333333,1005.1833333333334,6.491666666666667,13.0,1.8,rain
2020-08-06,28.1375,29.7,26.4,66.25,100,84.91666666666667,1006.6916666666666,9.216666666666667,15.2,1.5,rain
2020-08-07,28.179166666666664,30.4,26.3,68.33333333333333,97,84.375,1006.0916666666667,11.166666666666666,19.0,2.4,rain
2020-08-08,28.40833333333333,30.9,26.0,44.291666666666664,96,83.04166666666667,1004.9083333333333,7.658333333333334,16.9,0.2,cloudy
2020-08-09,28.316666666666666,31.1,25.5,27.916666666666668,84,81.58333333333333,1004.4,8.3875,14.9,2.1,rain
2020-08-10,29.441666666666666,32.4,25.9,42.166666666666664,99,77.0,1004.3666666666667,7.933333333333334,18.6,1.6,rain
2020-08-11,29.758333333333336,33.8,26.9,66.58333333333333,98,76.75,1005.0416666666666,7.166666666666667,14.5,6.800000000000001,rain
2020-08-12,28.52916666666667,32.4,26.6,92.29166666666667,100,82.375,1006.6416666666668,7.8,17.6,12.5,rain
2020-08-13,27.666666666666668,29.2,26.5,99.66666666666667,100,84.45833333333333,1007.5791666666668,5.579166666666667,15.0,4.5,rain
2020-08-14,27.90416666666667,29.3,26.5,99.79166666666667,100,83.33333333333333,1007.6666666666666,6.295833333333333,12.4,1.1,rain
2020-08-15,27.916666666666668,30.0,26.2,96.0,100,80.66666666666667,1007.6,6.2749999999999995,10.8,2.6999999999999997,rain
2020-08-16,27.525000000000002,30.2,25.1,87.125,100,83.41666666666667,1007.0458333333332,6.720833333333334,11.3,22.6,rain
2020-08-17,27.425,29.9,24.9,88.25,100,82.54166666666667,1006.4541666666668,7.408333333333334,12.0,34.6,rain
2020-08-18,28.054166666666664,30.4,25.3,86.70833333333333,98,80.5,1005.7833333333333,6.7625,15.2,0.8,rain
2020-08-19,27.879166666666666,30.4,25.7,79.83333333333333,100,82.58333333333333,1005.4541666666668,5.145833333333333,10.6,1.3,rain
2020-08-20,27.670833333333334,29.8,25.5,95.125,100,83.625,1006.8083333333334,6.0,11.7,0.6,rain
2020-08-21,27.870833333333334,29.8,26.0,89.54166666666667,100,83.16666666666667,1007.9,6.170833333333333,13.6,6.4,rain
2020-08-22,27.620833333333334,30.0,25.2,84.20833333333333,100,83.95833333333333,1007.875,5.704166666666667,11.1,2.1,rain
2020-08-23,27.775000000000002,30.1,25.5,92.375,98,84.29166666666667,1007.8958333333334,5.5375000000000005,9.1,1.5,rain
2020-08-24,29.308333333333334,33.1,26.5,79.29166666666667,98,80.66666666666667,1006.9791666666666,8.8125,16.8,0.0,cloudy
2020-08-25,29.933333333333334,33.3,26.9,44.041666666666664,97,80.16666666666667,1005.6041666666666,5.966666666666666,21.3,0.0,cloudy
2020-08-26,30.295833333333334,33.9,27.0,62.708333333333336,100,78.5,1003.8375,6.6000000000000005,14.6,0.0,cloudy
